owner,control,selector_template,properties
accordion,_background_attachment,(desktop+){{WRAPPER}},background-attachment
accordion,_background_bg_width,{{WRAPPER}},background-size
accordion,_background_color,{{WRAPPER}},background-color
accordion,_background_gradient_angle,{{WRAPPER}},background-color background-image
accordion,_background_gradient_position,{{WRAPPER}},background-color background-image
accordion,_background_hover_attachment,(desktop+){{WRAPPER}}:hover,background-attachment
accordion,_background_hover_bg_width,{{WRAPPER}}:hover,background-size
accordion,_background_hover_color,{{WRAPPER}}:hover,background-color
accordion,_background_hover_gradient_angle,{{WRAPPER}}:hover,background-color background-image
accordion,_background_hover_gradient_position,{{WRAPPER}}:hover,background-color background-image
accordion,_background_hover_image,{{WRAPPER}}:hover,background-image
accordion,_background_hover_position,{{WRAPPER}}:hover,background-position
accordion,_background_hover_repeat,{{WRAPPER}}:hover,background-repeat
accordion,_background_hover_size,{{WRAPPER}}:hover,background-size
accordion,_background_hover_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
accordion,_background_hover_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
accordion,_background_hover_transition,{{WRAPPER}},transition
accordion,_background_hover_video_fallback,{{WRAPPER}}:hover,background background-size
accordion,_background_hover_xpos,{{WRAPPER}}:hover,background-position
accordion,_background_hover_ypos,{{WRAPPER}}:hover,background-position
accordion,_background_image,{{WRAPPER}},background-image
accordion,_background_position,{{WRAPPER}},background-position
accordion,_background_repeat,{{WRAPPER}},background-repeat
accordion,_background_size,{{WRAPPER}},background-size
accordion,_background_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
accordion,_background_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
accordion,_background_video_fallback,{{WRAPPER}},background background-size
accordion,_background_xpos,{{WRAPPER}},background-position
accordion,_background_ypos,{{WRAPPER}},background-position
accordion,_border_border,{{WRAPPER}},border-style
accordion,_border_color,{{WRAPPER}},border-color
accordion,_border_hover_border,{{WRAPPER}}:hover,border-style
accordion,_border_hover_color,{{WRAPPER}}:hover,border-color
accordion,_border_hover_transition,{{WRAPPER}},transition
accordion,_border_hover_width,{{WRAPPER}}:hover,border-width
accordion,_border_radius,{{WRAPPER}},border-radius
accordion,_border_radius_hover,{{WRAPPER}}:hover,border-radius
accordion,_border_width,{{WRAPPER}},border-width
accordion,_box_shadow_box_shadow,{{WRAPPER}},box-shadow
accordion,_box_shadow_hover_box_shadow,{{WRAPPER}}:hover,box-shadow
accordion,_element_custom_width,{{WRAPPER}},--container-widget-width --container-widget-flex-grow width max-width
accordion,_element_vertical_align,{{WRAPPER}},align-self
accordion,_element_width,{{WRAPPER}},width max-width
accordion,_flex_align_self,{{WRAPPER}}.elementor-element,--align-self
accordion,_flex_grow,{{WRAPPER}}.elementor-element,--flex-grow
accordion,_flex_order,{{WRAPPER}}.elementor-element,--order
accordion,_flex_order_custom,{{WRAPPER}}.elementor-element,--order
accordion,_flex_shrink,{{WRAPPER}}.elementor-element,--flex-shrink
accordion,_grid_column,{{WRAPPER}},grid-column
accordion,_grid_column_custom,{{WRAPPER}},grid-column
accordion,_grid_row,{{WRAPPER}},grid-row
accordion,_grid_row_custom,{{WRAPPER}},grid-row
accordion,_margin,{{WRAPPER}},margin
accordion,_mask_image,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-image
accordion,_mask_position,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position
accordion,_mask_position_x,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position-x
accordion,_mask_position_y,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position-y
accordion,_mask_repeat,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-repeat
accordion,_mask_shape,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-image
accordion,_mask_size,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-size
accordion,_mask_size_scale,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-size
accordion,_offset_x,body.rtl {{WRAPPER}},right
accordion,_offset_x,body:not(.rtl) {{WRAPPER}},left
accordion,_offset_x_end,body.rtl {{WRAPPER}},left
accordion,_offset_x_end,body:not(.rtl) {{WRAPPER}},right
accordion,_offset_y,{{WRAPPER}},top
accordion,_offset_y_end,{{WRAPPER}},bottom
accordion,_padding,{{WRAPPER}},padding
accordion,_transform_flipX_effect,{{WRAPPER}},--e-transform-flipX
accordion,_transform_flipX_effect_hover,{{WRAPPER}}:hover,--e-transform-flipX
accordion,_transform_flipY_effect,{{WRAPPER}},--e-transform-flipY
accordion,_transform_flipY_effect_hover,{{WRAPPER}}:hover,--e-transform-flipY
accordion,_transform_perspective_effect,{{WRAPPER}},--e-transform-perspective
accordion,_transform_perspective_effect_hover,{{WRAPPER}}:hover,--e-transform-perspective
accordion,_transform_rotateX_effect,{{WRAPPER}},--e-transform-rotateX
accordion,_transform_rotateX_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateX
accordion,_transform_rotateY_effect,{{WRAPPER}},--e-transform-rotateY
accordion,_transform_rotateY_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateY
accordion,_transform_rotateZ_effect,{{WRAPPER}},--e-transform-rotateZ
accordion,_transform_rotateZ_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateZ
accordion,_transform_rotate_3d,{{WRAPPER}},--e-transform-rotateX --e-transform-perspective
accordion,_transform_rotate_3d_hover,{{WRAPPER}}:hover,--e-transform-rotateX --e-transform-perspective
accordion,_transform_scaleX_effect,{{WRAPPER}},--e-transform-scaleX
accordion,_transform_scaleX_effect_hover,{{WRAPPER}}:hover,--e-transform-scaleX
accordion,_transform_scaleY_effect,{{WRAPPER}},--e-transform-scaleY
accordion,_transform_scaleY_effect_hover,{{WRAPPER}}:hover,--e-transform-scaleY
accordion,_transform_scale_effect,{{WRAPPER}},--e-transform-scale
accordion,_transform_scale_effect_hover,{{WRAPPER}}:hover,--e-transform-scale
accordion,_transform_skewX_effect,{{WRAPPER}},--e-transform-skewX
accordion,_transform_skewX_effect_hover,{{WRAPPER}}:hover,--e-transform-skewX
accordion,_transform_skewY_effect,{{WRAPPER}},--e-transform-skewY
accordion,_transform_skewY_effect_hover,{{WRAPPER}}:hover,--e-transform-skewY
accordion,_transform_transition_hover,{{WRAPPER}},--e-transform-transition-duration
accordion,_transform_translateX_effect,{{WRAPPER}},--e-transform-translateX
accordion,_transform_translateX_effect_hover,{{WRAPPER}}:hover,--e-transform-translateX
accordion,_transform_translateY_effect,{{WRAPPER}},--e-transform-translateY
accordion,_transform_translateY_effect_hover,{{WRAPPER}}:hover,--e-transform-translateY
accordion,_z_index,{{WRAPPER}},z-index
accordion,border_color,{{WRAPPER}} .elementor-accordion-item,border-color
accordion,border_color,{{WRAPPER}} .elementor-accordion-item .elementor-tab-content,border-block-start-color
accordion,border_color,{{WRAPPER}} .elementor-accordion-item .elementor-tab-title.elementor-active,border-block-end-color
accordion,border_width,{{WRAPPER}} .elementor-accordion-item,border-width
accordion,border_width,{{WRAPPER}} .elementor-accordion-item .elementor-tab-content,border-width
accordion,border_width,{{WRAPPER}} .elementor-accordion-item .elementor-tab-title.elementor-active,border-width
accordion,content_background_color,{{WRAPPER}} .elementor-tab-content,background-color
accordion,content_color,{{WRAPPER}} .elementor-tab-content,color
accordion,content_padding,{{WRAPPER}} .elementor-tab-content,padding
accordion,content_shadow_text_shadow,{{WRAPPER}} .elementor-tab-content,text-shadow
accordion,content_typography_font_family,{{WRAPPER}} .elementor-tab-content,font-family
accordion,content_typography_font_size,{{WRAPPER}} .elementor-tab-content,font-size
accordion,content_typography_font_style,{{WRAPPER}} .elementor-tab-content,font-style
accordion,content_typography_font_weight,{{WRAPPER}} .elementor-tab-content,font-weight
accordion,content_typography_letter_spacing,{{WRAPPER}} .elementor-tab-content,letter-spacing
accordion,content_typography_line_height,{{WRAPPER}} .elementor-tab-content,line-height
accordion,content_typography_text_decoration,{{WRAPPER}} .elementor-tab-content,text-decoration
accordion,content_typography_text_transform,{{WRAPPER}} .elementor-tab-content,text-transform
accordion,content_typography_word_spacing,{{WRAPPER}} .elementor-tab-content,word-spacing
accordion,icon_active_color,{{WRAPPER}} .elementor-tab-title.elementor-active .elementor-accordion-icon i:before,color
accordion,icon_active_color,{{WRAPPER}} .elementor-tab-title.elementor-active .elementor-accordion-icon svg,fill
accordion,icon_color,{{WRAPPER}} .elementor-tab-title .elementor-accordion-icon i:before,color
accordion,icon_color,{{WRAPPER}} .elementor-tab-title .elementor-accordion-icon svg,fill
accordion,icon_space,{{WRAPPER}} .elementor-accordion-icon,margin-inline-end
accordion,motion_fx_transform_origin_x,{{WRAPPER}},--e-transform-origin-x
accordion,motion_fx_transform_origin_y,{{WRAPPER}},--e-transform-origin-y
accordion,motion_fx_transform_x_anchor_point,{{WRAPPER}},--e-transform-origin-x
accordion,motion_fx_transform_y_anchor_point,{{WRAPPER}},--e-transform-origin-y
accordion,tab_active_color,{{WRAPPER}} .elementor-active .elementor-accordion-icon svg,fill
accordion,tab_active_color,"{{WRAPPER}} .elementor-active .elementor-accordion-icon, {{WRAPPER}} .elementor-active .elementor-accordion-title",color
accordion,text_stroke_stroke_color,{{WRAPPER}} .elementor-accordion-title,-webkit-text-stroke-color stroke
accordion,text_stroke_text_stroke,{{WRAPPER}} .elementor-accordion-title,-webkit-text-stroke-width stroke-width
accordion,title_background,{{WRAPPER}} .elementor-tab-title,background-color
accordion,title_color,{{WRAPPER}} .elementor-accordion-icon svg,fill
accordion,title_color,"{{WRAPPER}} .elementor-accordion-icon, {{WRAPPER}} .elementor-accordion-title",color
accordion,title_padding,{{WRAPPER}} .elementor-tab-title,padding
accordion,title_shadow_text_shadow,{{WRAPPER}} .elementor-accordion-title,text-shadow
accordion,title_typography_font_family,{{WRAPPER}} .elementor-accordion-title,font-family
accordion,title_typography_font_size,{{WRAPPER}} .elementor-accordion-title,font-size
accordion,title_typography_font_style,{{WRAPPER}} .elementor-accordion-title,font-style
accordion,title_typography_font_weight,{{WRAPPER}} .elementor-accordion-title,font-weight
accordion,title_typography_letter_spacing,{{WRAPPER}} .elementor-accordion-title,letter-spacing
accordion,title_typography_line_height,{{WRAPPER}} .elementor-accordion-title,line-height
accordion,title_typography_text_decoration,{{WRAPPER}} .elementor-accordion-title,text-decoration
accordion,title_typography_text_transform,{{WRAPPER}} .elementor-accordion-title,text-transform
accordion,title_typography_word_spacing,{{WRAPPER}} .elementor-accordion-title,word-spacing
alert,_background_attachment,(desktop+){{WRAPPER}},background-attachment
alert,_background_bg_width,{{WRAPPER}},background-size
alert,_background_color,{{WRAPPER}},background-color
alert,_background_gradient_angle,{{WRAPPER}},background-color background-image
alert,_background_gradient_position,{{WRAPPER}},background-color background-image
alert,_background_hover_attachment,(desktop+){{WRAPPER}}:hover,background-attachment
alert,_background_hover_bg_width,{{WRAPPER}}:hover,background-size
alert,_background_hover_color,{{WRAPPER}}:hover,background-color
alert,_background_hover_gradient_angle,{{WRAPPER}}:hover,background-color background-image
alert,_background_hover_gradient_position,{{WRAPPER}}:hover,background-color background-image
alert,_background_hover_image,{{WRAPPER}}:hover,background-image
alert,_background_hover_position,{{WRAPPER}}:hover,background-position
alert,_background_hover_repeat,{{WRAPPER}}:hover,background-repeat
alert,_background_hover_size,{{WRAPPER}}:hover,background-size
alert,_background_hover_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
alert,_background_hover_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
alert,_background_hover_transition,{{WRAPPER}},transition
alert,_background_hover_video_fallback,{{WRAPPER}}:hover,background background-size
alert,_background_hover_xpos,{{WRAPPER}}:hover,background-position
alert,_background_hover_ypos,{{WRAPPER}}:hover,background-position
alert,_background_image,{{WRAPPER}},background-image
alert,_background_position,{{WRAPPER}},background-position
alert,_background_repeat,{{WRAPPER}},background-repeat
alert,_background_size,{{WRAPPER}},background-size
alert,_background_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
alert,_background_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
alert,_background_video_fallback,{{WRAPPER}},background background-size
alert,_background_xpos,{{WRAPPER}},background-position
alert,_background_ypos,{{WRAPPER}},background-position
alert,_border_border,{{WRAPPER}},border-style
alert,_border_color,{{WRAPPER}},border-color
alert,_border_hover_border,{{WRAPPER}}:hover,border-style
alert,_border_hover_color,{{WRAPPER}}:hover,border-color
alert,_border_hover_transition,{{WRAPPER}},transition
alert,_border_hover_width,{{WRAPPER}}:hover,border-width
alert,_border_radius,{{WRAPPER}},border-radius
alert,_border_radius_hover,{{WRAPPER}}:hover,border-radius
alert,_border_width,{{WRAPPER}},border-width
alert,_box_shadow_box_shadow,{{WRAPPER}},box-shadow
alert,_box_shadow_hover_box_shadow,{{WRAPPER}}:hover,box-shadow
alert,_element_custom_width,{{WRAPPER}},--container-widget-width --container-widget-flex-grow width max-width
alert,_element_vertical_align,{{WRAPPER}},align-self
alert,_element_width,{{WRAPPER}},width max-width
alert,_flex_align_self,{{WRAPPER}}.elementor-element,--align-self
alert,_flex_grow,{{WRAPPER}}.elementor-element,--flex-grow
alert,_flex_order,{{WRAPPER}}.elementor-element,--order
alert,_flex_order_custom,{{WRAPPER}}.elementor-element,--order
alert,_flex_shrink,{{WRAPPER}}.elementor-element,--flex-shrink
alert,_grid_column,{{WRAPPER}},grid-column
alert,_grid_column_custom,{{WRAPPER}},grid-column
alert,_grid_row,{{WRAPPER}},grid-row
alert,_grid_row_custom,{{WRAPPER}},grid-row
alert,_margin,{{WRAPPER}},margin
alert,_mask_image,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-image
alert,_mask_position,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position
alert,_mask_position_x,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position-x
alert,_mask_position_y,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position-y
alert,_mask_repeat,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-repeat
alert,_mask_shape,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-image
alert,_mask_size,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-size
alert,_mask_size_scale,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-size
alert,_offset_x,body.rtl {{WRAPPER}},right
alert,_offset_x,body:not(.rtl) {{WRAPPER}},left
alert,_offset_x_end,body.rtl {{WRAPPER}},left
alert,_offset_x_end,body:not(.rtl) {{WRAPPER}},right
alert,_offset_y,{{WRAPPER}},top
alert,_offset_y_end,{{WRAPPER}},bottom
alert,_padding,{{WRAPPER}},padding
alert,_transform_flipX_effect,{{WRAPPER}},--e-transform-flipX
alert,_transform_flipX_effect_hover,{{WRAPPER}}:hover,--e-transform-flipX
alert,_transform_flipY_effect,{{WRAPPER}},--e-transform-flipY
alert,_transform_flipY_effect_hover,{{WRAPPER}}:hover,--e-transform-flipY
alert,_transform_perspective_effect,{{WRAPPER}},--e-transform-perspective
alert,_transform_perspective_effect_hover,{{WRAPPER}}:hover,--e-transform-perspective
alert,_transform_rotateX_effect,{{WRAPPER}},--e-transform-rotateX
alert,_transform_rotateX_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateX
alert,_transform_rotateY_effect,{{WRAPPER}},--e-transform-rotateY
alert,_transform_rotateY_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateY
alert,_transform_rotateZ_effect,{{WRAPPER}},--e-transform-rotateZ
alert,_transform_rotateZ_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateZ
alert,_transform_rotate_3d,{{WRAPPER}},--e-transform-rotateX --e-transform-perspective
alert,_transform_rotate_3d_hover,{{WRAPPER}}:hover,--e-transform-rotateX --e-transform-perspective
alert,_transform_scaleX_effect,{{WRAPPER}},--e-transform-scaleX
alert,_transform_scaleX_effect_hover,{{WRAPPER}}:hover,--e-transform-scaleX
alert,_transform_scaleY_effect,{{WRAPPER}},--e-transform-scaleY
alert,_transform_scaleY_effect_hover,{{WRAPPER}}:hover,--e-transform-scaleY
alert,_transform_scale_effect,{{WRAPPER}},--e-transform-scale
alert,_transform_scale_effect_hover,{{WRAPPER}}:hover,--e-transform-scale
alert,_transform_skewX_effect,{{WRAPPER}},--e-transform-skewX
alert,_transform_skewX_effect_hover,{{WRAPPER}}:hover,--e-transform-skewX
alert,_transform_skewY_effect,{{WRAPPER}},--e-transform-skewY
alert,_transform_skewY_effect_hover,{{WRAPPER}}:hover,--e-transform-skewY
alert,_transform_transition_hover,{{WRAPPER}},--e-transform-transition-duration
alert,_transform_translateX_effect,{{WRAPPER}},--e-transform-translateX
alert,_transform_translateX_effect_hover,{{WRAPPER}}:hover,--e-transform-translateX
alert,_transform_translateY_effect,{{WRAPPER}},--e-transform-translateY
alert,_transform_translateY_effect_hover,{{WRAPPER}}:hover,--e-transform-translateY
alert,_z_index,{{WRAPPER}},z-index
alert,alert_description_font_family,{{WRAPPER}} .elementor-alert-description,font-family
alert,alert_description_font_size,{{WRAPPER}} .elementor-alert-description,font-size
alert,alert_description_font_style,{{WRAPPER}} .elementor-alert-description,font-style
alert,alert_description_font_weight,{{WRAPPER}} .elementor-alert-description,font-weight
alert,alert_description_letter_spacing,{{WRAPPER}} .elementor-alert-description,letter-spacing
alert,alert_description_line_height,{{WRAPPER}} .elementor-alert-description,line-height
alert,alert_description_text_decoration,{{WRAPPER}} .elementor-alert-description,text-decoration
alert,alert_description_text_transform,{{WRAPPER}} .elementor-alert-description,text-transform
alert,alert_description_word_spacing,{{WRAPPER}} .elementor-alert-description,word-spacing
alert,alert_title_font_family,{{WRAPPER}} .elementor-alert-title,font-family
alert,alert_title_font_size,{{WRAPPER}} .elementor-alert-title,font-size
alert,alert_title_font_style,{{WRAPPER}} .elementor-alert-title,font-style
alert,alert_title_font_weight,{{WRAPPER}} .elementor-alert-title,font-weight
alert,alert_title_letter_spacing,{{WRAPPER}} .elementor-alert-title,letter-spacing
alert,alert_title_line_height,{{WRAPPER}} .elementor-alert-title,line-height
alert,alert_title_text_decoration,{{WRAPPER}} .elementor-alert-title,text-decoration
alert,alert_title_text_transform,{{WRAPPER}} .elementor-alert-title,text-transform
alert,alert_title_word_spacing,{{WRAPPER}} .elementor-alert-title,word-spacing
alert,background,{{WRAPPER}} .elementor-alert,background-color
alert,border_color,{{WRAPPER}} .elementor-alert,border-inline-start-color
alert,border_left-width,{{WRAPPER}} .elementor-alert,border-inline-start-width
alert,description_color,{{WRAPPER}} .elementor-alert-description,color
alert,description_shadow_text_shadow,{{WRAPPER}} .elementor-alert-description,text-shadow
alert,dismiss_icon_horizontal_position,{{WRAPPER}},--dismiss-icon-horizontal-position
alert,dismiss_icon_hover_color,{{WRAPPER}},--dismiss-icon-hover-color
alert,dismiss_icon_hover_transition_duration,{{WRAPPER}},--dismiss-icon-hover-transition-duration
alert,dismiss_icon_normal_color,{{WRAPPER}},--dismiss-icon-normal-color
alert,dismiss_icon_size,{{WRAPPER}},--dismiss-icon-size
alert,dismiss_icon_vertical_position,{{WRAPPER}},--dismiss-icon-vertical-position
alert,motion_fx_transform_origin_x,{{WRAPPER}},--e-transform-origin-x
alert,motion_fx_transform_origin_y,{{WRAPPER}},--e-transform-origin-y
alert,motion_fx_transform_x_anchor_point,{{WRAPPER}},--e-transform-origin-x
alert,motion_fx_transform_y_anchor_point,{{WRAPPER}},--e-transform-origin-y
alert,title_color,{{WRAPPER}} .elementor-alert-title,color
alert,title_shadow_text_shadow,{{WRAPPER}} .elementor-alert-title,text-shadow
animated-headline,_background_attachment,(desktop+){{WRAPPER}},background-attachment
animated-headline,_background_bg_width,{{WRAPPER}},background-size
animated-headline,_background_color,{{WRAPPER}},background-color
animated-headline,_background_gradient_angle,{{WRAPPER}},background-color background-image
animated-headline,_background_gradient_position,{{WRAPPER}},background-color background-image
animated-headline,_background_hover_attachment,(desktop+){{WRAPPER}}:hover,background-attachment
animated-headline,_background_hover_bg_width,{{WRAPPER}}:hover,background-size
animated-headline,_background_hover_color,{{WRAPPER}}:hover,background-color
animated-headline,_background_hover_gradient_angle,{{WRAPPER}}:hover,background-color background-image
animated-headline,_background_hover_gradient_position,{{WRAPPER}}:hover,background-color background-image
animated-headline,_background_hover_image,{{WRAPPER}}:hover,background-image
animated-headline,_background_hover_position,{{WRAPPER}}:hover,background-position
animated-headline,_background_hover_repeat,{{WRAPPER}}:hover,background-repeat
animated-headline,_background_hover_size,{{WRAPPER}}:hover,background-size
animated-headline,_background_hover_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
animated-headline,_background_hover_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
animated-headline,_background_hover_transition,{{WRAPPER}},transition
animated-headline,_background_hover_video_fallback,{{WRAPPER}}:hover,background background-size
animated-headline,_background_hover_xpos,{{WRAPPER}}:hover,background-position
animated-headline,_background_hover_ypos,{{WRAPPER}}:hover,background-position
animated-headline,_background_image,{{WRAPPER}},background-image
animated-headline,_background_position,{{WRAPPER}},background-position
animated-headline,_background_repeat,{{WRAPPER}},background-repeat
animated-headline,_background_size,{{WRAPPER}},background-size
animated-headline,_background_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
animated-headline,_background_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
animated-headline,_background_video_fallback,{{WRAPPER}},background background-size
animated-headline,_background_xpos,{{WRAPPER}},background-position
animated-headline,_background_ypos,{{WRAPPER}},background-position
animated-headline,_border_border,{{WRAPPER}},border-style
animated-headline,_border_color,{{WRAPPER}},border-color
animated-headline,_border_hover_border,{{WRAPPER}}:hover,border-style
animated-headline,_border_hover_color,{{WRAPPER}}:hover,border-color
animated-headline,_border_hover_transition,{{WRAPPER}},transition
animated-headline,_border_hover_width,{{WRAPPER}}:hover,border-width
animated-headline,_border_radius,{{WRAPPER}},border-radius
animated-headline,_border_radius_hover,{{WRAPPER}}:hover,border-radius
animated-headline,_border_width,{{WRAPPER}},border-width
animated-headline,_box_shadow_box_shadow,{{WRAPPER}},box-shadow
animated-headline,_box_shadow_hover_box_shadow,{{WRAPPER}}:hover,box-shadow
animated-headline,_element_custom_width,{{WRAPPER}},--container-widget-width --container-widget-flex-grow width max-width
animated-headline,_element_vertical_align,{{WRAPPER}},align-self
animated-headline,_element_width,{{WRAPPER}},width max-width
animated-headline,_flex_align_self,{{WRAPPER}}.elementor-element,--align-self
animated-headline,_flex_grow,{{WRAPPER}}.elementor-element,--flex-grow
animated-headline,_flex_order,{{WRAPPER}}.elementor-element,--order
animated-headline,_flex_order_custom,{{WRAPPER}}.elementor-element,--order
animated-headline,_flex_shrink,{{WRAPPER}}.elementor-element,--flex-shrink
animated-headline,_grid_column,{{WRAPPER}},grid-column
animated-headline,_grid_column_custom,{{WRAPPER}},grid-column
animated-headline,_grid_row,{{WRAPPER}},grid-row
animated-headline,_grid_row_custom,{{WRAPPER}},grid-row
animated-headline,_margin,{{WRAPPER}},margin
animated-headline,_mask_image,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-image
animated-headline,_mask_position,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position
animated-headline,_mask_position_x,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position-x
animated-headline,_mask_position_y,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-position-y
animated-headline,_mask_repeat,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-repeat
animated-headline,_mask_shape,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-image
animated-headline,_mask_size,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-size
animated-headline,_mask_size_scale,"{{WRAPPER}}:not( .elementor-widget-image ), {{WRAPPER}}.elementor-widget-image img",-webkit-mask-size
animated-headline,_offset_x,body.rtl {{WRAPPER}},right
animated-headline,_offset_x,body:not(.rtl) {{WRAPPER}},left
animated-headline,_offset_x_end,body.rtl {{WRAPPER}},left
animated-headline,_offset_x_end,body:not(.rtl) {{WRAPPER}},right
animated-headline,_offset_y,{{WRAPPER}},top
animated-headline,_offset_y_end,{{WRAPPER}},bottom
animated-headline,_padding,{{WRAPPER}},padding
animated-headline,_transform_flipX_effect,{{WRAPPER}},--e-transform-flipX
animated-headline,_transform_flipX_effect_hover,{{WRAPPER}}:hover,--e-transform-flipX
animated-headline,_transform_flipY_effect,{{WRAPPER}},--e-transform-flipY
animated-headline,_transform_flipY_effect_hover,{{WRAPPER}}:hover,--e-transform-flipY
animated-headline,_transform_perspective_effect,{{WRAPPER}},--e-transform-perspective
animated-headline,_transform_perspective_effect_hover,{{WRAPPER}}:hover,--e-transform-perspective
animated-headline,_transform_rotateX_effect,{{WRAPPER}},--e-transform-rotateX
animated-headline,_transform_rotateX_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateX
animated-headline,_transform_rotateY_effect,{{WRAPPER}},--e-transform-rotateY
animated-headline,_transform_rotateY_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateY
animated-headline,_transform_rotateZ_effect,{{WRAPPER}},--e-transform-rotateZ
animated-headline,_transform_rotateZ_effect_hover,{{WRAPPER}}:hover,--e-transform-rotateZ
animated-headline,_transform_rotate_3d,{{WRAPPER}},--e-transform-rotateX --e-transform-perspective
animated-headline,_transform_rotate_3d_hover,{{WRAPPER}}:hover,--e-transform-rotateX --e-transform-perspective
animated-headline,_transform_scaleX_effect,{{WRAPPER}},--e-transform-scaleX
animated-headline,_transform_scaleX_effect_hover,{{WRAPPER}}:hover,--e-transform-scaleX
animated-headline,_transform_scaleY_effect,{{WRAPPER}},--e-transform-scaleY
animated-headline,_transform_scaleY_effect_hover,{{WRAPPER}}:hover,--e-transform-scaleY
animated-headline,_transform_scale_effect,{{WRAPPER}},--e-transform-scale
animated-headline,_transform_scale_effect_hover,{{WRAPPER}}:hover,--e-transform-scale
animated-headline,_transform_skewX_effect,{{WRAPPER}},--e-transform-skewX
animated-headline,_transform_skewX_effect_hover,{{WRAPPER}}:hover,--e-transform-skewX
animated-headline,_transform_skewY_effect,{{WRAPPER}},--e-transform-skewY
animated-headline,_transform_skewY_effect_hover,{{WRAPPER}}:hover,--e-transform-skewY
animated-headline,_transform_transition_hover,{{WRAPPER}},--e-transform-transition-duration
animated-headline,_transform_translateX_effect,{{WRAPPER}},--e-transform-translateX
animated-headline,_transform_translateX_effect_hover,{{WRAPPER}}:hover,--e-transform-translateX
animated-headline,_transform_translateY_effect,{{WRAPPER}},--e-transform-translateY
animated-headline,_transform_translateY_effect_hover,{{WRAPPER}}:hover,--e-transform-translateY
