owner,control,device,type,css,expected,status,detail
archive-posts,archive_cards_read_more_typography_font_size,,slider,font-size,511px,verified,
archive-posts,archive_cards_read_more_typography_font_size_mobile,mobile,slider,font-size,332px,verified,
archive-posts,archive_cards_read_more_typography_font_size_tablet,tablet,slider,font-size,240px,verified,
archive-posts,archive_cards_read_more_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_cards_read_more_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_cards_read_more_typography_letter_spacing,,slider,letter-spacing,312px,verified,
archive-posts,archive_cards_read_more_typography_letter_spacing_mobile,mobile,slider,letter-spacing,189px,verified,
archive-posts,archive_cards_read_more_typography_letter_spacing_tablet,tablet,slider,letter-spacing,11px,verified,
archive-posts,archive_cards_read_more_typography_line_height,,slider,line-height,392px,verified,
archive-posts,archive_cards_read_more_typography_line_height_mobile,mobile,slider,line-height,848px,verified,
archive-posts,archive_cards_read_more_typography_line_height_tablet,tablet,slider,line-height,975px,verified,
archive-posts,archive_cards_read_more_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_cards_read_more_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_cards_read_more_typography_word_spacing,,slider,word-spacing,553px,verified,
archive-posts,archive_cards_read_more_typography_word_spacing_mobile,mobile,slider,word-spacing,382px,verified,
archive-posts,archive_cards_read_more_typography_word_spacing_tablet,tablet,slider,word-spacing,522px,verified,
archive-posts,archive_cards_row_gap,,slider,--grid-row-gap,212px,verified,
archive-posts,archive_cards_row_gap_mobile,mobile,slider,--grid-row-gap,21px,verified,
archive-posts,archive_cards_row_gap_tablet,tablet,slider,--grid-row-gap,634px,verified,
archive-posts,archive_cards_text_stroke_stroke_color,,color,-webkit-text-stroke-color|stroke,#615962,verified,
archive-posts,archive_cards_text_stroke_text_stroke,,slider,-webkit-text-stroke-width|stroke-width,574px,verified,
archive-posts,archive_cards_text_stroke_text_stroke_mobile,mobile,slider,-webkit-text-stroke-width|stroke-width,824px,verified,
archive-posts,archive_cards_text_stroke_text_stroke_tablet,tablet,slider,-webkit-text-stroke-width|stroke-width,104px,verified,
archive-posts,archive_cards_thumbnail_filters_blur,,slider,filter,371px,verified,
archive-posts,archive_cards_thumbnail_hover_filters_blur,,slider,filter,52px,verified,
archive-posts,archive_cards_title_color,,color,color,#CF783C,verified,
archive-posts,archive_cards_title_spacing,,slider,margin-bottom,624px,verified,
archive-posts,archive_cards_title_spacing_mobile,mobile,slider,margin-bottom,170px,verified,
archive-posts,archive_cards_title_spacing_tablet,tablet,slider,margin-bottom,67px,verified,
archive-posts,archive_cards_title_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_cards_title_typography_font_size,,slider,font-size,901px,verified,
archive-posts,archive_cards_title_typography_font_size_mobile,mobile,slider,font-size,830px,verified,
archive-posts,archive_cards_title_typography_font_size_tablet,tablet,slider,font-size,60px,verified,
archive-posts,archive_cards_title_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_cards_title_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_cards_title_typography_letter_spacing,,slider,letter-spacing,43px,verified,
archive-posts,archive_cards_title_typography_letter_spacing_mobile,mobile,slider,letter-spacing,610px,verified,
archive-posts,archive_cards_title_typography_letter_spacing_tablet,tablet,slider,letter-spacing,679px,verified,
archive-posts,archive_cards_title_typography_line_height,,slider,line-height,138px,verified,
archive-posts,archive_cards_title_typography_line_height_mobile,mobile,slider,line-height,679px,verified,
archive-posts,archive_cards_title_typography_line_height_tablet,tablet,slider,line-height,494px,verified,
archive-posts,archive_cards_title_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_cards_title_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_cards_title_typography_word_spacing,,slider,word-spacing,586px,verified,
archive-posts,archive_cards_title_typography_word_spacing_mobile,mobile,slider,word-spacing,95px,verified,
archive-posts,archive_cards_title_typography_word_spacing_tablet,tablet,slider,word-spacing,335px,verified,
archive-posts,archive_classic_column_gap,,slider,--grid-column-gap,160px,verified,
archive-posts,archive_classic_column_gap_mobile,mobile,slider,--grid-column-gap,687px,verified,
archive-posts,archive_classic_column_gap_tablet,tablet,slider,--grid-column-gap,258px,verified,
archive-posts,archive_classic_excerpt_color,,color,color,#63C395,verified,
archive-posts,archive_classic_excerpt_spacing,,slider,margin-bottom,221px,verified,
archive-posts,archive_classic_excerpt_spacing_mobile,mobile,slider,margin-bottom,734px,verified,
archive-posts,archive_classic_excerpt_spacing_tablet,tablet,slider,margin-bottom,943px,verified,
archive-posts,archive_classic_excerpt_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_classic_excerpt_typography_font_size,,slider,font-size,683px,verified,
archive-posts,archive_classic_excerpt_typography_font_size_mobile,mobile,slider,font-size,267px,verified,
archive-posts,archive_classic_excerpt_typography_font_size_tablet,tablet,slider,font-size,526px,verified,
archive-posts,archive_classic_excerpt_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_classic_excerpt_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_classic_excerpt_typography_letter_spacing,,slider,letter-spacing,668px,verified,
archive-posts,archive_classic_excerpt_typography_letter_spacing_mobile,mobile,slider,letter-spacing,32px,verified,
archive-posts,archive_classic_excerpt_typography_letter_spacing_tablet,tablet,slider,letter-spacing,608px,verified,
archive-posts,archive_classic_excerpt_typography_line_height,,slider,line-height,326px,verified,
archive-posts,archive_classic_excerpt_typography_line_height_mobile,mobile,slider,line-height,928px,verified,
archive-posts,archive_classic_excerpt_typography_line_height_tablet,tablet,slider,line-height,480px,verified,
archive-posts,archive_classic_excerpt_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_classic_excerpt_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_classic_excerpt_typography_word_spacing,,slider,word-spacing,175px,verified,
archive-posts,archive_classic_excerpt_typography_word_spacing_mobile,mobile,slider,word-spacing,53px,verified,
archive-posts,archive_classic_excerpt_typography_word_spacing_tablet,tablet,slider,word-spacing,722px,verified,
archive-posts,archive_classic_image_spacing,,slider,margin-right|margin-left|margin-bottom,576px,verified,
archive-posts,archive_classic_image_spacing_mobile,mobile,slider,margin-right|margin-left|margin-bottom,95px,verified,
archive-posts,archive_classic_image_spacing_tablet,tablet,slider,margin-right|margin-left|margin-bottom,453px,verified,
archive-posts,archive_classic_image_width,,slider,width,68px,verified,
archive-posts,archive_classic_image_width_mobile,mobile,slider,width,194px,verified,
archive-posts,archive_classic_image_width_tablet,tablet,slider,width,646px,verified,
archive-posts,archive_classic_img_border_radius,,dimensions,border-radius,66px,verified,
archive-posts,archive_classic_img_border_radius_mobile,mobile,dimensions,border-radius,84px,verified,
archive-posts,archive_classic_img_border_radius_tablet,tablet,dimensions,border-radius,41px,verified,
archive-posts,archive_classic_item_ratio,,slider,padding-bottom|content,943px,verified,
archive-posts,archive_classic_item_ratio_mobile,mobile,slider,padding-bottom|content,964px,verified,
archive-posts,archive_classic_item_ratio_tablet,tablet,slider,padding-bottom|content,291px,verified,
archive-posts,archive_classic_meta_color,,color,color,#6D6EA6,verified,
archive-posts,archive_classic_meta_separator_color,,color,color,#C1725F,verified,
archive-posts,archive_classic_meta_spacing,,slider,margin-bottom,429px,verified,
archive-posts,archive_classic_meta_spacing_mobile,mobile,slider,margin-bottom,404px,verified,
archive-posts,archive_classic_meta_spacing_tablet,tablet,slider,margin-bottom,924px,verified,
archive-posts,archive_classic_meta_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_classic_meta_typography_font_size,,slider,font-size,498px,verified,
archive-posts,archive_classic_meta_typography_font_size_mobile,mobile,slider,font-size,319px,verified,
archive-posts,archive_classic_meta_typography_font_size_tablet,tablet,slider,font-size,365px,verified,
archive-posts,archive_classic_meta_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_classic_meta_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_classic_meta_typography_letter_spacing,,slider,letter-spacing,557px,verified,
archive-posts,archive_classic_meta_typography_letter_spacing_mobile,mobile,slider,letter-spacing,315px,verified,
archive-posts,archive_classic_meta_typography_letter_spacing_tablet,tablet,slider,letter-spacing,785px,verified,
archive-posts,archive_classic_meta_typography_line_height,,slider,line-height,816px,verified,
archive-posts,archive_classic_meta_typography_line_height_mobile,mobile,slider,line-height,541px,verified,
archive-posts,archive_classic_meta_typography_line_height_tablet,tablet,slider,line-height,791px,verified,
archive-posts,archive_classic_meta_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_classic_meta_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_classic_meta_typography_word_spacing,,slider,word-spacing,721px,verified,
archive-posts,archive_classic_meta_typography_word_spacing_mobile,mobile,slider,word-spacing,510px,verified,
archive-posts,archive_classic_meta_typography_word_spacing_tablet,tablet,slider,word-spacing,280px,verified,
archive-posts,archive_classic_read_more_color,,color,color,#A0938A,verified,
archive-posts,archive_classic_read_more_spacing,,slider,margin-bottom,128px,verified,
archive-posts,archive_classic_read_more_spacing_mobile,mobile,slider,margin-bottom,773px,verified,
archive-posts,archive_classic_read_more_spacing_tablet,tablet,slider,margin-bottom,145px,verified,
archive-posts,archive_classic_read_more_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_classic_read_more_typography_font_size,,slider,font-size,774px,verified,
archive-posts,archive_classic_read_more_typography_font_size_mobile,mobile,slider,font-size,416px,verified,
archive-posts,archive_classic_read_more_typography_font_size_tablet,tablet,slider,font-size,286px,verified,
archive-posts,archive_classic_read_more_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_classic_read_more_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_classic_read_more_typography_letter_spacing,,slider,letter-spacing,457px,verified,
archive-posts,archive_classic_read_more_typography_letter_spacing_mobile,mobile,slider,letter-spacing,202px,verified,
archive-posts,archive_classic_read_more_typography_letter_spacing_tablet,tablet,slider,letter-spacing,536px,verified,
archive-posts,archive_classic_read_more_typography_line_height,,slider,line-height,601px,verified,
archive-posts,archive_classic_read_more_typography_line_height_mobile,mobile,slider,line-height,448px,verified,
archive-posts,archive_classic_read_more_typography_line_height_tablet,tablet,slider,line-height,103px,verified,
archive-posts,archive_classic_read_more_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_classic_read_more_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_classic_read_more_typography_word_spacing,,slider,word-spacing,99px,verified,
archive-posts,archive_classic_read_more_typography_word_spacing_mobile,mobile,slider,word-spacing,342px,verified,
archive-posts,archive_classic_read_more_typography_word_spacing_tablet,tablet,slider,word-spacing,496px,verified,
archive-posts,archive_classic_row_gap,,slider,--grid-row-gap,908px,verified,
archive-posts,archive_classic_row_gap_mobile,mobile,slider,--grid-row-gap,188px,verified,
archive-posts,archive_classic_row_gap_tablet,tablet,slider,--grid-row-gap,479px,verified,
archive-posts,archive_classic_text_stroke_stroke_color,,color,-webkit-text-stroke-color|stroke,#5B9250,verified,
archive-posts,archive_classic_text_stroke_text_stroke,,slider,-webkit-text-stroke-width|stroke-width,673px,verified,
archive-posts,archive_classic_text_stroke_text_stroke_mobile,mobile,slider,-webkit-text-stroke-width|stroke-width,308px,verified,
archive-posts,archive_classic_text_stroke_text_stroke_tablet,tablet,slider,-webkit-text-stroke-width|stroke-width,857px,verified,
archive-posts,archive_classic_thumbnail_filters_blur,,slider,filter,912px,verified,
archive-posts,archive_classic_thumbnail_hover_filters_blur,,slider,filter,788px,verified,
archive-posts,archive_classic_title_color,,color,color,#3ABFB4,verified,
archive-posts,archive_classic_title_spacing,,slider,margin-bottom,753px,verified,
archive-posts,archive_classic_title_spacing_mobile,mobile,slider,margin-bottom,884px,verified,
archive-posts,archive_classic_title_spacing_tablet,tablet,slider,margin-bottom,744px,verified,
archive-posts,archive_classic_title_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_classic_title_typography_font_size,,slider,font-size,616px,verified,
archive-posts,archive_classic_title_typography_font_size_mobile,mobile,slider,font-size,576px,verified,
archive-posts,archive_classic_title_typography_font_size_tablet,tablet,slider,font-size,950px,verified,
archive-posts,archive_classic_title_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_classic_title_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_classic_title_typography_letter_spacing,,slider,letter-spacing,614px,verified,
archive-posts,archive_classic_title_typography_letter_spacing_mobile,mobile,slider,letter-spacing,926px,verified,
archive-posts,archive_classic_title_typography_letter_spacing_tablet,tablet,slider,letter-spacing,265px,verified,
archive-posts,archive_classic_title_typography_line_height,,slider,line-height,674px,verified,
archive-posts,archive_classic_title_typography_line_height_mobile,mobile,slider,line-height,246px,verified,
archive-posts,archive_classic_title_typography_line_height_tablet,tablet,slider,line-height,295px,verified,
archive-posts,archive_classic_title_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_classic_title_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_classic_title_typography_word_spacing,,slider,word-spacing,811px,verified,
archive-posts,archive_classic_title_typography_word_spacing_mobile,mobile,slider,word-spacing,351px,verified,
archive-posts,archive_classic_title_typography_word_spacing_tablet,tablet,slider,word-spacing,201px,verified,
archive-posts,archive_full_content_box_bg_color,,color,background-color,#67D14B,verified,
archive-posts,archive_full_content_box_bg_color_hover,,color,background-color,#30D337,verified,
archive-posts,archive_full_content_box_border_color,,color,border-color,#59A241,verified,
archive-posts,archive_full_content_box_border_color_hover,,color,border-color,#9E89C5,verified,
archive-posts,archive_full_content_box_border_radius,,slider,border-radius,584px,verified,
archive-posts,archive_full_content_box_border_radius_mobile,mobile,slider,border-radius,48px,verified,
archive-posts,archive_full_content_box_border_radius_tablet,tablet,slider,border-radius,630px,verified,
archive-posts,archive_full_content_box_border_width,,dimensions,border-style|border-width,79px,verified,
archive-posts,archive_full_content_box_border_width_mobile,mobile,dimensions,border-style|border-width,61px,verified,
archive-posts,archive_full_content_box_border_width_tablet,tablet,dimensions,border-style|border-width,45px,verified,
archive-posts,archive_full_content_box_padding,,dimensions,padding,86px,verified,
archive-posts,archive_full_content_box_padding_mobile,mobile,dimensions,padding,79px,verified,
archive-posts,archive_full_content_box_padding_tablet,tablet,dimensions,padding,87px,verified,
archive-posts,archive_full_content_box_shadow_box_shadow,,box_shadow,box-shadow,#8DCD9C,verified,
archive-posts,archive_full_content_box_shadow_hover_box_shadow,,box_shadow,box-shadow,#8D5EA9,verified,
archive-posts,archive_full_content_content_padding,,dimensions,padding,60px,verified,
archive-posts,archive_full_content_content_padding_mobile,mobile,dimensions,padding,76px,verified,
archive-posts,archive_full_content_content_padding_tablet,tablet,dimensions,padding,41px,verified,
archive-posts,archive_full_content_excerpt_color,,color,color,#4F7683,verified,
archive-posts,archive_full_content_excerpt_spacing,,slider,margin-bottom,947px,verified,
archive-posts,archive_full_content_excerpt_spacing_mobile,mobile,slider,margin-bottom,597px,verified,
archive-posts,archive_full_content_excerpt_spacing_tablet,tablet,slider,margin-bottom,897px,verified,
archive-posts,archive_full_content_excerpt_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_full_content_excerpt_typography_font_size,,slider,font-size,100px,verified,
archive-posts,archive_full_content_excerpt_typography_font_size_mobile,mobile,slider,font-size,960px,verified,
archive-posts,archive_full_content_excerpt_typography_font_size_tablet,tablet,slider,font-size,750px,verified,
archive-posts,archive_full_content_excerpt_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_full_content_excerpt_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_full_content_excerpt_typography_letter_spacing,,slider,letter-spacing,847px,verified,
archive-posts,archive_full_content_excerpt_typography_letter_spacing_mobile,mobile,slider,letter-spacing,505px,verified,
archive-posts,archive_full_content_excerpt_typography_letter_spacing_tablet,tablet,slider,letter-spacing,831px,verified,
archive-posts,archive_full_content_excerpt_typography_line_height,,slider,line-height,371px,verified,
archive-posts,archive_full_content_excerpt_typography_line_height_mobile,mobile,slider,line-height,91px,verified,
archive-posts,archive_full_content_excerpt_typography_line_height_tablet,tablet,slider,line-height,338px,verified,
archive-posts,archive_full_content_excerpt_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_full_content_excerpt_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_full_content_excerpt_typography_word_spacing,,slider,word-spacing,17px,verified,
archive-posts,archive_full_content_excerpt_typography_word_spacing_mobile,mobile,slider,word-spacing,55px,verified,
archive-posts,archive_full_content_excerpt_typography_word_spacing_tablet,tablet,slider,word-spacing,514px,verified,
archive-posts,archive_full_content_image_spacing,,slider,margin-bottom,602px,verified,
archive-posts,archive_full_content_image_spacing_mobile,mobile,slider,margin-bottom,409px,verified,
archive-posts,archive_full_content_image_spacing_tablet,tablet,slider,margin-bottom,917px,verified,
archive-posts,archive_full_content_image_width,,slider,width,904px,verified,
archive-posts,archive_full_content_image_width_mobile,mobile,slider,width,577px,verified,
archive-posts,archive_full_content_image_width_tablet,tablet,slider,width,402px,verified,
archive-posts,archive_full_content_img_border_radius,,dimensions,border-radius,25px,verified,
archive-posts,archive_full_content_img_border_radius_mobile,mobile,dimensions,border-radius,49px,verified,
archive-posts,archive_full_content_img_border_radius_tablet,tablet,dimensions,border-radius,85px,verified,
archive-posts,archive_full_content_item_ratio,,slider,padding-bottom|content|position|color,230px,verified,
archive-posts,archive_full_content_item_ratio_mobile,mobile,slider,padding-bottom|content|position|color,573px,verified,
archive-posts,archive_full_content_item_ratio_tablet,tablet,slider,padding-bottom|content|position|color,354px,verified,
archive-posts,archive_full_content_meta_color,,color,color,#6BA342,verified,
archive-posts,archive_full_content_meta_separator_color,,color,color,#E76AC4,verified,
archive-posts,archive_full_content_meta_spacing,,slider,margin-bottom,36px,verified,
archive-posts,archive_full_content_meta_spacing_mobile,mobile,slider,margin-bottom,69px,verified,
archive-posts,archive_full_content_meta_spacing_tablet,tablet,slider,margin-bottom,769px,verified,
archive-posts,archive_full_content_meta_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_full_content_meta_typography_font_size,,slider,font-size,886px,verified,
archive-posts,archive_full_content_meta_typography_font_size_mobile,mobile,slider,font-size,724px,verified,
archive-posts,archive_full_content_meta_typography_font_size_tablet,tablet,slider,font-size,357px,verified,
archive-posts,archive_full_content_meta_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_full_content_meta_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_full_content_meta_typography_letter_spacing,,slider,letter-spacing,59px,verified,
archive-posts,archive_full_content_meta_typography_letter_spacing_mobile,mobile,slider,letter-spacing,941px,verified,
archive-posts,archive_full_content_meta_typography_letter_spacing_tablet,tablet,slider,letter-spacing,263px,verified,
archive-posts,archive_full_content_meta_typography_line_height,,slider,line-height,823px,verified,
archive-posts,archive_full_content_meta_typography_line_height_mobile,mobile,slider,line-height,976px,verified,
archive-posts,archive_full_content_meta_typography_line_height_tablet,tablet,slider,line-height,878px,verified,
archive-posts,archive_full_content_meta_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_full_content_meta_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_full_content_meta_typography_word_spacing,,slider,word-spacing,753px,verified,
archive-posts,archive_full_content_meta_typography_word_spacing_mobile,mobile,slider,word-spacing,477px,verified,
archive-posts,archive_full_content_meta_typography_word_spacing_tablet,tablet,slider,word-spacing,457px,verified,
archive-posts,archive_full_content_read_more_color,,color,color,#BB93A0,verified,
archive-posts,archive_full_content_read_more_spacing,,slider,margin-bottom,526px,verified,
archive-posts,archive_full_content_read_more_spacing_mobile,mobile,slider,margin-bottom,511px,verified,
archive-posts,archive_full_content_read_more_spacing_tablet,tablet,slider,margin-bottom,624px,verified,
archive-posts,archive_full_content_read_more_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_full_content_read_more_typography_font_size,,slider,font-size,408px,verified,
archive-posts,archive_full_content_read_more_typography_font_size_mobile,mobile,slider,font-size,293px,verified,
archive-posts,archive_full_content_read_more_typography_font_size_tablet,tablet,slider,font-size,14px,verified,
archive-posts,archive_full_content_read_more_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_full_content_read_more_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_full_content_read_more_typography_letter_spacing,,slider,letter-spacing,126px,verified,
archive-posts,archive_full_content_read_more_typography_letter_spacing_mobile,mobile,slider,letter-spacing,431px,verified,
archive-posts,archive_full_content_read_more_typography_letter_spacing_tablet,tablet,slider,letter-spacing,369px,verified,
archive-posts,archive_full_content_read_more_typography_line_height,,slider,line-height,277px,verified,
archive-posts,archive_full_content_read_more_typography_line_height_mobile,mobile,slider,line-height,841px,verified,
archive-posts,archive_full_content_read_more_typography_line_height_tablet,tablet,slider,line-height,697px,verified,
archive-posts,archive_full_content_read_more_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_full_content_read_more_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_full_content_read_more_typography_word_spacing,,slider,word-spacing,173px,verified,
archive-posts,archive_full_content_read_more_typography_word_spacing_mobile,mobile,slider,word-spacing,251px,verified,
archive-posts,archive_full_content_read_more_typography_word_spacing_tablet,tablet,slider,word-spacing,266px,verified,
archive-posts,archive_full_content_row_gap,,slider,margin-bottom,399px,verified,
archive-posts,archive_full_content_text_stroke_stroke_color,,color,-webkit-text-stroke-color|stroke,#6470C6,verified,
archive-posts,archive_full_content_text_stroke_text_stroke,,slider,-webkit-text-stroke-width|stroke-width,698px,verified,
archive-posts,archive_full_content_text_stroke_text_stroke_mobile,mobile,slider,-webkit-text-stroke-width|stroke-width,668px,verified,
archive-posts,archive_full_content_text_stroke_text_stroke_tablet,tablet,slider,-webkit-text-stroke-width|stroke-width,396px,verified,
archive-posts,archive_full_content_thumbnail_filters_blur,,slider,filter,494px,verified,
archive-posts,archive_full_content_thumbnail_hover_filters_blur,,slider,filter,44px,verified,
archive-posts,archive_full_content_title_color,,color,color,#9CAF68,verified,
archive-posts,archive_full_content_title_spacing,,slider,margin-bottom,647px,verified,
archive-posts,archive_full_content_title_spacing_mobile,mobile,slider,margin-bottom,153px,verified,
archive-posts,archive_full_content_title_spacing_tablet,tablet,slider,margin-bottom,527px,verified,
archive-posts,archive_full_content_title_typography_font_family,,font,font-family,Roboto,verified,
archive-posts,archive_full_content_title_typography_font_size,,slider,font-size,385px,verified,
archive-posts,archive_full_content_title_typography_font_size_mobile,mobile,slider,font-size,679px,verified,
archive-posts,archive_full_content_title_typography_font_size_tablet,tablet,slider,font-size,794px,verified,
archive-posts,archive_full_content_title_typography_font_style,,select,font-style,normal,verified,
archive-posts,archive_full_content_title_typography_font_weight,,select,font-weight,100,verified,
archive-posts,archive_full_content_title_typography_letter_spacing,,slider,letter-spacing,261px,verified,
archive-posts,archive_full_content_title_typography_letter_spacing_mobile,mobile,slider,letter-spacing,724px,verified,
archive-posts,archive_full_content_title_typography_letter_spacing_tablet,tablet,slider,letter-spacing,915px,verified,
archive-posts,archive_full_content_title_typography_line_height,,slider,line-height,909px,verified,
archive-posts,archive_full_content_title_typography_line_height_mobile,mobile,slider,line-height,239px,verified,
archive-posts,archive_full_content_title_typography_line_height_tablet,tablet,slider,line-height,193px,verified,
archive-posts,archive_full_content_title_typography_text_decoration,,select,text-decoration,underline,verified,
archive-posts,archive_full_content_title_typography_text_transform,,select,text-transform,uppercase,verified,
archive-posts,archive_full_content_title_typography_word_spacing,,slider,word-spacing,832px,verified,
archive-posts,archive_full_content_title_typography_word_spacing_mobile,mobile,slider,word-spacing,881px,verified,
archive-posts,archive_full_content_title_typography_word_spacing_tablet,tablet,slider,word-spacing,323px,verified,
archive-posts,background_attachment,,select,background-attachment,scroll,verified,
archive-posts,background_bg_width,,slider,background-size,676px,verified,
archive-posts,background_bg_width_mobile,mobile,slider,background-size,531px,verified,
archive-posts,background_bg_width_tablet,tablet,slider,background-size,722px,verified,
archive-posts,background_color,,color,background-color,#495D75,verified,
archive-posts,background_gradient_angle,,slider,background-color|background-image,550deg,verified,
archive-posts,background_gradient_angle_mobile,mobile,slider,background-color|background-image,130deg,verified,
archive-posts,background_gradient_angle_tablet,tablet,slider,background-color|background-image,13deg,verified,
archive-posts,background_gradient_position,,select,background-color|background-image,center center,verified,
archive-posts,background_gradient_position_mobile,mobile,select,background-color|background-image,center center,verified,
archive-posts,background_gradient_position_tablet,tablet,select,background-color|background-image,center center,verified,
archive-posts,background_position,,select,background-position,center center,verified,
archive-posts,background_position_mobile,mobile,select,background-position,center center,verified,
archive-posts,background_position_tablet,tablet,select,background-position,center center,verified,
archive-posts,background_repeat,,select,background-repeat,no-repeat,verified,
archive-posts,background_repeat_mobile,mobile,select,background-repeat,no-repeat,verified,
archive-posts,background_repeat_tablet,tablet,select,background-repeat,no-repeat,verified,
archive-posts,background_size,,select,background-size,auto,verified,
archive-posts,background_size_mobile,mobile,select,background-size,auto,verified,
archive-posts,background_size_tablet,tablet,select,background-size,auto,verified,
archive-posts,background_slideshow_background_position,,select,background-position,center center,verified,
archive-posts,background_slideshow_background_position_mobile,mobile,select,background-position,center center,verified,
archive-posts,background_slideshow_background_position_tablet,tablet,select,background-position,center center,verified,
archive-posts,background_slideshow_background_size,,select,background-size,auto,verified,
archive-posts,background_slideshow_background_size_mobile,mobile,select,background-size,auto,verified,
archive-posts,background_slideshow_background_size_tablet,tablet,select,background-size,auto,verified,
archive-posts,background_video_fallback,,media,background|background-size,https://example.com/eh-sweep-probe.png,verified,
archive-posts,background_xpos,,slider,background-position,595px,verified,
archive-posts,background_xpos_mobile,mobile,slider,background-position,354px,verified,
archive-posts,background_xpos_tablet,tablet,slider,background-position,129px,verified,
archive-posts,background_ypos,,slider,background-position,730px,verified,
archive-posts,background_ypos_mobile,mobile,slider,background-position,795px,verified,
archive-posts,background_ypos_tablet,tablet,slider,background-position,480px,verified,
archive-posts,border_border,,select,border-style,none,verified,
archive-posts,border_color,,color,border-color,#A37EA6,verified,
archive-posts,border_radius,,dimensions,border-radius,69px,verified,
archive-posts,border_radius_mobile,mobile,dimensions,border-radius,17px,verified,
archive-posts,border_radius_tablet,tablet,dimensions,border-radius,23px,verified,
archive-posts,border_width,,dimensions,border-width,52px,verified,
archive-posts,border_width_mobile,mobile,dimensions,border-width,49px,verified,
archive-posts,border_width_tablet,tablet,dimensions,border-width,62px,verified,
archive-posts,button_background_hover_attachment,,select,background-attachment,scroll,verified,
archive-posts,button_background_hover_bg_width,,slider,background-size,725px,verified,
archive-posts,button_background_hover_bg_width_mobile,mobile,slider,background-size,968px,verified,
archive-posts,button_background_hover_bg_width_tablet,tablet,slider,background-size,16px,verified,
archive-posts,button_background_hover_color,,color,background-color,#8E49E4,verified,
archive-posts,button_background_hover_gradient_angle,,slider,background-color|background-image,347deg,verified,
archive-posts,button_background_hover_gradient_angle_mobile,mobile,slider,background-color|background-image,406deg,verified,
archive-posts,button_background_hover_gradient_angle_tablet,tablet,slider,background-color|background-image,254deg,verified,
archive-posts,button_background_hover_gradient_position,,select,background-color|background-image,center center,verified,
archive-posts,button_background_hover_gradient_position_mobile,mobile,select,background-color|background-image,center center,verified,
archive-posts,button_background_hover_gradient_position_tablet,tablet,select,background-color|background-image,center center,verified,
archive-posts,button_background_hover_position,,select,background-position,center center,verified,
archive-posts,button_background_hover_position_mobile,mobile,select,background-position,center center,verified,
archive-posts,button_background_hover_position_tablet,tablet,select,background-position,center center,verified,
archive-posts,button_background_hover_repeat,,select,background-repeat,no-repeat,verified,
archive-posts,button_background_hover_repeat_mobile,mobile,select,background-repeat,no-repeat,verified,
archive-posts,button_background_hover_repeat_tablet,tablet,select,background-repeat,no-repeat,verified,
archive-posts,button_background_hover_size,,select,background-size,auto,verified,
